Source Name	Comment[ENA_SAMPLE]	Material Type	Provider	Characteristics[organism]	Characteristics[specimen with known storage state]	Characteristics[InitialTimePoint]	Characteristics[genotype]	Characteristics[sex]	Characteristics[individual]	Characteristics[developmental stage]	Characteristics[strain]	Characteristics[organism part]	Protocol REF	Protocol REF	Protocol REF	Extract Name	Material Type	Comment[LIBRARY_LAYOUT]	Comment[LIBRARY_SOURCE]	Comment[LIBRARY_STRATEGY]	Comment[LIBRARY_SELECTION]	Protocol REF	Performer	Assay Name	Technology Type	Comment[ENA_EXPERIMENT]	Scan Name	Comment[SUBMITTED_FILE_NAME]	Comment[ENA_RUN]	Comment[FASTQ_URI]	Protocol REF	Protocol REF	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	Factor Value[organism]	Factor Value[immunoprecipitate]
Vervet1	ERS517743	organism part	UCLA Center for Neurobehavioral Genetics	Chlorocebus aethiops sabaeus	fresh specimen	  	wild type	female	Vervet1	adult	  	liver	P-MTAB-39591	P-MTAB-39592	P-MTAB-39593	DVL2-51#96	genomic DNA	SINGLE	GENOMIC	ChIP-Seq	ChIP	P-MTAB-40494	WTSI	do2138	sequencing assay	ERX530934	do2138_input_liver_unk_rheMac2Chlorocebus_aethips_sabaeus2053.0_SAN01.fq.gz	do2138_input_liver_unk_rheMac2Chlorocebus_aethips_sabaeus2053.0_SAN01.fq.gz	ERR572175	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR572/ERR572175/ERR572175.fastq.gz	P-MTAB-39594	  	  	  	Chlorocebus aethiops sabaeus	input
Vervet2	ERS517766	organism part	UCLA Center for Neurobehavioral Genetics	Chlorocebus aethiops sabaeus	fresh specimen	  	wild type	female	Vervet2	adult	  	liver	P-MTAB-39591	P-MTAB-39592	P-MTAB-39593	DVL2-51#97	genomic DNA	SINGLE	GENOMIC	ChIP-Seq	ChIP	P-MTAB-40494	WTSI	do2139	sequencing assay	ERX531009	do2139_input_liver_unk_rheMac2Chlorocebus_aethips_sabaeus2079.0_SAN01.fq.gz	do2139_input_liver_unk_rheMac2Chlorocebus_aethips_sabaeus2079.0_SAN01.fq.gz	ERR572154	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR572/ERR572154/ERR572154.fastq.gz	P-MTAB-39594	  	  	  	Chlorocebus aethiops sabaeus	input
Vervet3	ERS517784	organism part	UCLA Center for Neurobehavioral Genetics	Chlorocebus aethiops sabaeus	fresh specimen	  	wild type	female	Vervet3	adult	  	liver	P-MTAB-39591	P-MTAB-39592	P-MTAB-39593	DVL2-51#98	genomic DNA	SINGLE	GENOMIC	ChIP-Seq	ChIP	P-MTAB-40494	WTSI	do2140	sequencing assay	ERX531052	do2140_input_liver_unk_rheMac2Chlorocebus_aethips_sabaeus3104.0_SAN01.fq.gz	do2140_input_liver_unk_rheMac2Chlorocebus_aethips_sabaeus3104.0_SAN01.fq.gz	ERR572206	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR572/ERR572206/ERR572206.fastq.gz	P-MTAB-39594	  	  	  	Chlorocebus aethiops sabaeus	input
Marmoset4	ERS517762	organism part	Harlan	Callithrix jacchus	fresh specimen	  	wild type	male	Marmoset4	adult	  	liver	P-MTAB-39591	P-MTAB-39592	P-MTAB-39593	DVL2-117#10	genomic DNA	SINGLE	GENOMIC	ChIP-Seq	ChIP	P-MTAB-40494	WTSI	do2490	sequencing assay	ERX530929	do2490_H3K4me3_liver_millipore_05-1339_calJac3Callithrix_jacchusMarmoset4_SAN01.fq.gz	do2490_H3K4me3_liver_millipore_05-1339_calJac3Callithrix_jacchusMarmoset4_SAN01.fq.gz	ERR572279	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR572/ERR572279/ERR572279.fastq.gz	P-MTAB-39594	P-MTAB-39595	calJac-H3K4me3_replicated-peaks_macs	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-2633/E-MTAB-2633.processed.1.zip	Callithrix jacchus	H3K4me3
Marmoset5	ERS517754	organism part	Harlan	Callithrix jacchus	fresh specimen	  	wild type	male	Marmoset5	adult	  	liver	P-MTAB-39591	P-MTAB-39592	P-MTAB-39593	DVL2-171#63	genomic DNA	SINGLE	GENOMIC	ChIP-Seq	ChIP	P-MTAB-40494	WTSI	do3147	sequencing assay	ERX531034	do3147_H3K4me3_liver_05-1339_calJac3Callithrix_jacchusMarmoset5_SAN01.fq.gz	do3147_H3K4me3_liver_05-1339_calJac3Callithrix_jacchusMarmoset5_SAN01.fq.gz	ERR572280	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR572/ERR572280/ERR572280.fastq.gz	P-MTAB-39594	P-MTAB-39595	calJac-H3K4me3_replicated-peaks_macs	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-2633/E-MTAB-2633.processed.1.zip	Callithrix jacchus	H3K4me3
Marmoset6	ERS517752	organism part	Harlan	Callithrix jacchus	fresh specimen	  	wild type	male	Marmoset6	adult	  	liver	P-MTAB-39591	P-MTAB-39592	P-MTAB-39593	DVL2-117#12	genomic DNA	SINGLE	GENOMIC	ChIP-Seq	ChIP	P-MTAB-40494	WTSI	do2492	sequencing assay	ERX531012	do2492_H3K4me3_liver_millipore_05-1339_calJac3Callithrix_jacchusMarmoset6_SAN01.fq.gz	do2492_H3K4me3_liver_millipore_05-1339_calJac3Callithrix_jacchusMarmoset6_SAN01.fq.gz	ERR572225	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR572/ERR572225/ERR572225.fastq.gz	P-MTAB-39594	P-MTAB-39595	calJac-H3K4me3_replicated-peaks_macs	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-2633/E-MTAB-2633.processed.1.zip	Callithrix jacchus	H3K4me3
Marmoset4	ERS517762	organism part	Harlan	Callithrix jacchus	fresh specimen	  	wild type	male	Marmoset4	adult	  	liver	P-MTAB-39591	P-MTAB-39592	P-MTAB-39593	DVL2-117#16	genomic DNA	SINGLE	GENOMIC	ChIP-Seq	ChIP	P-MTAB-40494	WTSI	do2496	sequencing assay	ERX531003	do2496_H3K27Ac_liver_ab4729_calJac3Callithrix_jacchusMarmoset4_SAN01.fq.gz	do2496_H3K27Ac_liver_ab4729_calJac3Callithrix_jacchusMarmoset4_SAN01.fq.gz	ERR572209	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR572/ERR572209/ERR572209.fastq.gz	P-MTAB-39594	P-MTAB-39595	calJac-H3K27Ac_replicated-peaks_macs	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-2633/E-MTAB-2633.processed.1.zip	Callithrix jacchus	H3K27Ac
Marmoset5	ERS517754	organism part	Harlan	Callithrix jacchus	fresh specimen	  	wild type	male	Marmoset5	adult	  	liver	P-MTAB-39591	P-MTAB-39592	P-MTAB-39593	DVL2-117#17	genomic DNA	SINGLE	GENOMIC	ChIP-Seq	ChIP	P-MTAB-40494	WTSI	do2497	sequencing assay	ERX531058	do2497_H3K27Ac_liver_ab4729_calJac3Callithrix_jacchusMarmoset5_SAN01.fq.gz	do2497_H3K27Ac_liver_ab4729_calJac3Callithrix_jacchusMarmoset5_SAN01.fq.gz	ERR572184	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR572/ERR572184/ERR572184.fastq.gz	P-MTAB-39594	P-MTAB-39595	calJac-H3K27Ac_replicated-peaks_macs	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-2633/E-MTAB-2633.processed.1.zip	Callithrix jacchus	H3K27Ac
Marmoset6	ERS517752	organism part	Harlan	Callithrix jacchus	fresh specimen	  	wild type	male	Marmoset6	adult	  	liver	P-MTAB-39591	P-MTAB-39592	P-MTAB-39593	DVL2-117#18	genomic DNA	SINGLE	GENOMIC	ChIP-Seq	ChIP	P-MTAB-40494	WTSI	do2498	sequencing assay	ERX530951	do2498_H3K27Ac_liver_ab4729_calJac3Callithrix_jacchusMarmoset6_SAN01.fq.gz	do2498_H3K27Ac_liver_ab4729_calJac3Callithrix_jacchusMarmoset6_SAN01.fq.gz	ERR572202	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR572/ERR572202/ERR572202.fastq.gz	P-MTAB-39594	P-MTAB-39595	calJac-H3K27Ac_replicated-peaks_macs	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-2633/E-MTAB-2633.processed.1.zip	Callithrix jacchus	H3K27Ac
Marmoset4	ERS517762	organism part	Harlan	Callithrix jacchus	fresh specimen	  	wild type	male	Marmoset4	adult	  	liver	P-MTAB-39591	P-MTAB-39592	P-MTAB-39593	DVL2-106#21W	genomic DNA	SINGLE	GENOMIC	ChIP-Seq	ChIP	P-MTAB-40494	WTSI	do2588	sequencing assay	ERX530970	do2588_unk_liver_unk_calJac3Callithrix_jacchusMarmoset4_SAN01.fq.gz	do2588_unk_liver_unk_calJac3Callithrix_jacchusMarmoset4_SAN01.fq.gz	ERR572189	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR572/ERR572189/ERR572189.fastq.gz	P-MTAB-39594	  	  	  	Callithrix jacchus	input
Marmoset5	ERS517754	organism part	Harlan	Callithrix jacchus	fresh specimen	  	wild type	male	Marmoset5	adult	  	liver	P-MTAB-39591	P-MTAB-39592	P-MTAB-39593	DVL2-106#22W	genomic DNA	SINGLE	GENOMIC	ChIP-Seq	ChIP	P-MTAB-40494	WTSI	do2589	sequencing assay	ERX530918	do2589_unk_liver_unk_calJac3Callithrix_jacchusMarmoset5_SAN01.fq.gz	do2589_unk_liver_unk_calJac3Callithrix_jacchusMarmoset5_SAN01.fq.gz	ERR572223	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR572/ERR572223/ERR572223.fastq.gz	P-MTAB-39594	  	  	  	Callithrix jacchus	input
Marmoset6	ERS517752	organism part	Harlan	Callithrix jacchus	fresh specimen	  	wild type	male	Marmoset6	adult	  	liver	P-MTAB-39591	P-MTAB-39592	P-MTAB-39593	DVL2-106#23W	genomic DNA	SINGLE	GENOMIC	ChIP-Seq	ChIP	P-MTAB-40494	WTSI	do2590	sequencing assay	ERX530916	do2590_unk_liver_unk_calJac3Callithrix_jacchusMarmoset6_SAN01.fq.gz	do2590_unk_liver_unk_calJac3Callithrix_jacchusMarmoset6_SAN01.fq.gz	ERR572287	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR572/ERR572287/ERR572287.fastq.gz	P-MTAB-39594	  	  	  	Callithrix jacchus	input
85920	ERS517745	organism part	Charles river	Mus musculus domesticus	fresh specimen	  	wild type	male	85920	adult	C57BL/6J	liver	P-MTAB-39591	P-MTAB-39592	P-MTAB-39593	DVL2-171#25	genomic DNA	SINGLE	GENOMIC	ChIP-Seq	ChIP	P-MTAB-40494	WTSI	do3134	sequencing assay	ERX530952	do3134_H3K4me3_liver_05-1339_mm10BL685920.0_SAN01.fq.gz	do3134_H3K4me3_liver_05-1339_mm10BL685920.0_SAN01.fq.gz	ERR572162	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR572/ERR572162/ERR572162.fastq.gz	P-MTAB-39594	P-MTAB-39595	Mmus-H3K4me3_replicated-peaks_macs	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-2633/E-MTAB-2633.processed.1.zip	Mus musculus domesticus	H3K4me3
85921	ERS517740	organism part	Charles river	Mus musculus domesticus	fresh specimen	  	wild type	male	85921	adult	C57BL/6J	liver	P-MTAB-39591	P-MTAB-39592	P-MTAB-39593	DVL2-171#26	genomic DNA	SINGLE	GENOMIC	ChIP-Seq	ChIP	P-MTAB-40494	WTSI	do3135	sequencing assay	ERX531026	do3135_H3K4me3_liver_05-1339_mm10BL685921.0_SAN01.fq.gz	do3135_H3K4me3_liver_05-1339_mm10BL685921.0_SAN01.fq.gz	ERR572240	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR572/ERR572240/ERR572240.fastq.gz	P-MTAB-39594	P-MTAB-39595	Mmus-H3K4me3_replicated-peaks_macs	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-2633/E-MTAB-2633.processed.1.zip	Mus musculus domesticus	H3K4me3
85923	ERS517765	organism part	Charles river	Mus musculus domesticus	fresh specimen	  	wild type	male	85923	adult	C57BL/6J	liver	P-MTAB-39591	P-MTAB-39592	P-MTAB-39593	DVL2-171#27	genomic DNA	SINGLE	GENOMIC	ChIP-Seq	ChIP	P-MTAB-40494	WTSI	do3136	sequencing assay	ERX530933	do3136_H3K4me3_liver_05-1339_mm10BL685923.0_SAN01.fq.gz	do3136_H3K4me3_liver_05-1339_mm10BL685923.0_SAN01.fq.gz	ERR572250	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR572/ERR572250/ERR572250.fastq.gz	P-MTAB-39594	P-MTAB-39595	Mmus-H3K4me3_replicated-peaks_macs	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-2633/E-MTAB-2633.processed.1.zip	Mus musculus domesticus	H3K4me3
85924	ERS517742	organism part	Charles river	Mus musculus domesticus	fresh specimen	  	wild type	male	85924	adult	C57BL/6J	liver	P-MTAB-39591	P-MTAB-39592	P-MTAB-39593	DVL2-171#28	genomic DNA	SINGLE	GENOMIC	ChIP-Seq	ChIP	P-MTAB-40494	WTSI	do3137	sequencing assay	ERX530969	do3137_H3K4me3_liver_05-1339_mm10BL685924.0_SAN01.fq.gz	do3137_H3K4me3_liver_05-1339_mm10BL685924.0_SAN01.fq.gz	ERR572176	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR572/ERR572176/ERR572176.fastq.gz	P-MTAB-39594	P-MTAB-39595	Mmus-H3K4me3_replicated-peaks_macs	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-2633/E-MTAB-2633.processed.1.zip	Mus musculus domesticus	H3K4me3
85920	ERS517745	organism part	Charles river	Mus musculus domesticus	fresh specimen	  	wild type	male	85920	adult	C57BL/6J	liver	P-MTAB-39591	P-MTAB-39592	P-MTAB-39593	DVL2-171#22	genomic DNA	SINGLE	GENOMIC	ChIP-Seq	ChIP	P-MTAB-40494	WTSI	do3128	sequencing assay	ERX530908	do3128_H3K27Ac_liver_ab4729_mm10BL685920.0_SAN01.fq.gz	do3128_H3K27Ac_liver_ab4729_mm10BL685920.0_SAN01.fq.gz	ERR572228	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR572/ERR572228/ERR572228.fastq.gz	P-MTAB-39594	P-MTAB-39595	Mmus-H3K27Ac_replicated-peaks_macs	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-2633/E-MTAB-2633.processed.1.zip	Mus musculus domesticus	H3K27Ac
85921	ERS517740	organism part	Charles river	Mus musculus domesticus	fresh specimen	  	wild type	male	85921	adult	C57BL/6J	liver	P-MTAB-39591	P-MTAB-39592	P-MTAB-39593	DVL2-171#23	genomic DNA	SINGLE	GENOMIC	ChIP-Seq	ChIP	P-MTAB-40494	WTSI	do3129	sequencing assay	ERX531018	do3129_H3K27Ac_liver_ab4729_mm10BL685921.0_SAN01.fq.gz	do3129_H3K27Ac_liver_ab4729_mm10BL685921.0_SAN01.fq.gz	ERR572192	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR572/ERR572192/ERR572192.fastq.gz	P-MTAB-39594	P-MTAB-39595	Mmus-H3K27Ac_replicated-peaks_macs	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-2633/E-MTAB-2633.processed.1.zip	Mus musculus domesticus	H3K27Ac
85923	ERS517765	organism part	Charles river	Mus musculus domesticus	fresh specimen	  	wild type	male	85923	adult	C57BL/6J	liver	P-MTAB-39591	P-MTAB-39592	P-MTAB-39593	DVL2-171#24	genomic DNA	SINGLE	GENOMIC	ChIP-Seq	ChIP	P-MTAB-40494	WTSI	do3130	sequencing assay	ERX531002	do3130_H3K27Ac_liver_ab4729_mm10BL685923.0_SAN01.fq.gz	do3130_H3K27Ac_liver_ab4729_mm10BL685923.0_SAN01.fq.gz	ERR572141	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR572/ERR572141/ERR572141.fastq.gz	P-MTAB-39594	P-MTAB-39595	Mmus-H3K27Ac_replicated-peaks_macs	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-2633/E-MTAB-2633.processed.1.zip	Mus musculus domesticus	H3K27Ac
85924	ERS517742	organism part	Charles river	Mus musculus domesticus	fresh specimen	  	wild type	male	85924	adult	C57BL/6J	liver	P-MTAB-39591	P-MTAB-39592	P-MTAB-39593	DVL2-171#49	genomic DNA	SINGLE	GENOMIC	ChIP-Seq	ChIP	P-MTAB-40494	WTSI	do3131	sequencing assay	ERX530905	do3131_H3K27Ac_liver_ab4729_mm10BL685924.0_SAN01.fq.gz	do3131_H3K27Ac_liver_ab4729_mm10BL685924.0_SAN01.fq.gz	ERR572185	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR572/ERR572185/ERR572185.fastq.gz	P-MTAB-39594	P-MTAB-39595	Mmus-H3K27Ac_replicated-peaks_macs	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-2633/E-MTAB-2633.processed.1.zip	Mus musculus domesticus	H3K27Ac
85920	ERS517745	organism part	Charles river	Mus musculus domesticus	fresh specimen	  	wild type	male	85920	adult	C57BL/6J	liver	P-MTAB-39591	P-MTAB-39592	P-MTAB-39593	DVL2-171#43W	genomic DNA	SINGLE	GENOMIC	ChIP-Seq	ChIP	P-MTAB-40494	WTSI	do3148	sequencing assay	ERX530954	do3148_input_liver_unk_mm10BL685920.0_SAN01.fq.gz	do3148_input_liver_unk_mm10BL685920.0_SAN01.fq.gz	ERR572173	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR572/ERR572173/ERR572173.fastq.gz	P-MTAB-39594	  	  	  	Mus musculus domesticus	input
85921	ERS517740	organism part	Charles river	Mus musculus domesticus	fresh specimen	  	wild type	male	85921	adult	C57BL/6J	liver	P-MTAB-39591	P-MTAB-39592	P-MTAB-39593	DVL2-171#44W	genomic DNA	SINGLE	GENOMIC	ChIP-Seq	ChIP	P-MTAB-40494	WTSI	do3149	sequencing assay	ERX530903	do3149_input_liver_unk_mm10BL685921.0_SAN01.fq.gz	do3149_input_liver_unk_mm10BL685921.0_SAN01.fq.gz	ERR572140	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR572/ERR572140/ERR572140.fastq.gz	P-MTAB-39594	  	  	  	Mus musculus domesticus	input
85923	ERS517765	organism part	Charles river	Mus musculus domesticus	fresh specimen	  	wild type	male	85923	adult	C57BL/6J	liver	P-MTAB-39591	P-MTAB-39592	P-MTAB-39593	DVL2-171#45W	genomic DNA	SINGLE	GENOMIC	ChIP-Seq	ChIP	P-MTAB-40494	WTSI	do3150	sequencing assay	ERX530937	do3150_input_liver_unk_mm10BL685923.0_SAN01.fq.gz	do3150_input_liver_unk_mm10BL685923.0_SAN01.fq.gz	ERR572227	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR572/ERR572227/ERR572227.fastq.gz	P-MTAB-39594	  	  	  	Mus musculus domesticus	input
85924	ERS517742	organism part	Charles river	Mus musculus domesticus	fresh specimen	  	wild type	male	85924	adult	C57BL/6J	liver	P-MTAB-39591	P-MTAB-39592	P-MTAB-39593	DVL2-171#46W	genomic DNA	SINGLE	GENOMIC	ChIP-Seq	ChIP	P-MTAB-40494	WTSI	do3151	sequencing assay	ERX531037	do3151_input_liver_unk_mm10BL685924.0_SAN01.fq.gz	do3151_input_liver_unk_mm10BL685924.0_SAN01.fq.gz	ERR572226	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR572/ERR572226/ERR572226.fastq.gz	P-MTAB-39594	  	  	  	Mus musculus domesticus	input
Rat7	ERS517769	organism part	Harlan	Rattus norvegicus	fresh specimen	  	wild type	male	Rat7	adult	  	liver	P-MTAB-39591	P-MTAB-39592	P-MTAB-39593	DVL2-220#1	genomic DNA	SINGLE	GENOMIC	ChIP-Seq	ChIP	P-MTAB-40494	WTSI	do2506	sequencing assay	ERX530959	do2506_H3K4me3_liver_millipore_05-1339_rn5Rattus_norvegicusRat7_SAN01p1.fq.gz	do2506_H3K4me3_liver_millipore_05-1339_rn5Rattus_norvegicusRat7_SAN01p1.fq.gz	ERR572172	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR572/ERR572172/ERR572172.fastq.gz	P-MTAB-39594	P-MTAB-39595	rn5-H3K4me3_replicated-peaks_macs	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-2633/E-MTAB-2633.processed.1.zip	Rattus norvegicus	H3K4me3
Rat9	ERS517770	organism part	Harlan	Rattus norvegicus	fresh specimen	  	wild type	male	Rat9	adult	  	liver	P-MTAB-39591	P-MTAB-39592	P-MTAB-39593	DVL2-220#2	genomic DNA	SINGLE	GENOMIC	ChIP-Seq	ChIP	P-MTAB-40494	WTSI	do2507	sequencing assay	ERX530942	do2507_H3K4me3_liver_millipore_05-1339_rn5Rattus_norvegicusRat9_SAN01.fq.gz	do2507_H3K4me3_liver_millipore_05-1339_rn5Rattus_norvegicusRat9_SAN01.fq.gz	ERR572264	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR572/ERR572264/ERR572264.fastq.gz	P-MTAB-39594	P-MTAB-39595	rn5-H3K4me3_replicated-peaks_macs	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-2633/E-MTAB-2633.processed.1.zip	Rattus norvegicus	H3K4me3
Rat10	ERS517773	organism part	Harlan	Rattus norvegicus	fresh specimen	  	wild type	male	Rat10	adult	  	liver	P-MTAB-39591	P-MTAB-39592	P-MTAB-39593	DVL2-220#3	genomic DNA	SINGLE	GENOMIC	ChIP-Seq	ChIP	P-MTAB-40494	WTSI	do2508	sequencing assay	ERX530991	do2508_H3K4me3_liver_millipore_05-1339_rn5Rattus_norvegicusRat10_SAN01.fq.gz	do2508_H3K4me3_liver_millipore_05-1339_rn5Rattus_norvegicusRat10_SAN01.fq.gz	ERR572272	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR572/ERR572272/ERR572272.fastq.gz	P-MTAB-39594	P-MTAB-39595	rn5-H3K4me3_replicated-peaks_macs	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-2633/E-MTAB-2633.processed.1.zip	Rattus norvegicus	H3K4me3
Rat7	ERS517769	organism part	Harlan	Rattus norvegicus	fresh specimen	  	wild type	male	Rat7	adult	  	liver	P-MTAB-39591	P-MTAB-39592	P-MTAB-39593	DVL2-220#7	genomic DNA	SINGLE	GENOMIC	ChIP-Seq	ChIP	P-MTAB-40494	WTSI	do2512	sequencing assay	ERX530985	do2512_H3K27Ac_liver_ab4729_rn5Rattus_norvegicusRat7_SAN01p1.fq.gz	do2512_H3K27Ac_liver_ab4729_rn5Rattus_norvegicusRat7_SAN01p1.fq.gz	ERR572251	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR572/ERR572251/ERR572251.fastq.gz	P-MTAB-39594	P-MTAB-39595	rn5-H3K27Ac_replicated-peaks_macs	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-2633/E-MTAB-2633.processed.1.zip	Rattus norvegicus	H3K27Ac
Rat9	ERS517770	organism part	Harlan	Rattus norvegicus	fresh specimen	  	wild type	male	Rat9	adult	  	liver	P-MTAB-39591	P-MTAB-39592	P-MTAB-39593	DVL2-220#8	genomic DNA	SINGLE	GENOMIC	ChIP-Seq	ChIP	P-MTAB-40494	WTSI	do2513	sequencing assay	ERX531051	do2513_H3K27Ac_liver_ab4729_rn5Rattus_norvegicusRat9_SAN01.fq.gz	do2513_H3K27Ac_liver_ab4729_rn5Rattus_norvegicusRat9_SAN01.fq.gz	ERR572179	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR572/ERR572179/ERR572179.fastq.gz	P-MTAB-39594	P-MTAB-39595	rn5-H3K27Ac_replicated-peaks_macs	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-2633/E-MTAB-2633.processed.1.zip	Rattus norvegicus	H3K27Ac
Rat10	ERS517773	organism part	Harlan	Rattus norvegicus	fresh specimen	  	wild type	male	Rat10	adult	  	liver	P-MTAB-39591	P-MTAB-39592	P-MTAB-39593	DVL2-220#9	genomic DNA	SINGLE	GENOMIC	ChIP-Seq	ChIP	P-MTAB-40494	WTSI	do2514	sequencing assay	ERX530988	do2514_H3K27Ac_liver_ab4729_rn5Rattus_norvegicusRat10_SAN01.fq.gz	do2514_H3K27Ac_liver_ab4729_rn5Rattus_norvegicusRat10_SAN01.fq.gz	ERR572186	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR572/ERR572186/ERR572186.fastq.gz	P-MTAB-39594	P-MTAB-39595	rn5-H3K27Ac_replicated-peaks_macs	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-2633/E-MTAB-2633.processed.1.zip	Rattus norvegicus	H3K27Ac
Rat7	ERS517769	organism part	Harlan	Rattus norvegicus	fresh specimen	  	wild type	male	Rat7	adult	  	liver	P-MTAB-39591	P-MTAB-39592	P-MTAB-39593	DVL2-220#33W	genomic DNA	SINGLE	GENOMIC	ChIP-Seq	ChIP	P-MTAB-40494	WTSI	do2601	sequencing assay	ERX530940	do2601_unk_liver_unk_rn5Rattus_norvegicusRat7_SAN01.fq.gz	do2601_unk_liver_unk_rn5Rattus_norvegicusRat7_SAN01.fq.gz	ERR572166	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR572/ERR572166/ERR572166.fastq.gz	P-MTAB-39594	  	  	  	Rattus norvegicus	input
Rat9	ERS517770	organism part	Harlan	Rattus norvegicus	fresh specimen	  	wild type	male	Rat9	adult	  	liver	P-MTAB-39591	P-MTAB-39592	P-MTAB-39593	DVL2-220#34W	genomic DNA	SINGLE	GENOMIC	ChIP-Seq	ChIP	P-MTAB-40494	WTSI	do2602	sequencing assay	ERX531062	do2602_unk_liver_unk_rn5Rattus_norvegicusRat9_SAN01.fq.gz	do2602_unk_liver_unk_rn5Rattus_norvegicusRat9_SAN01.fq.gz	ERR572144	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR572/ERR572144/ERR572144.fastq.gz	P-MTAB-39594	  	  	  	Rattus norvegicus	input
Rat10	ERS517773	organism part	Harlan	Rattus norvegicus	fresh specimen	  	wild type	male	Rat10	adult	  	liver	P-MTAB-39591	P-MTAB-39592	P-MTAB-39593	DVL2-220#35W	genomic DNA	SINGLE	GENOMIC	ChIP-Seq	ChIP	P-MTAB-40494	WTSI	do2603	sequencing assay	ERX530948	do2603_unk_liver_unk_rn5Rattus_norvegicusRat10_SAN01.fq.gz	do2603_unk_liver_unk_rn5Rattus_norvegicusRat10_SAN01.fq.gz	ERR572177	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR572/ERR572177/ERR572177.fastq.gz	P-MTAB-39594	  	  	  	Rattus norvegicus	input
